empresa,bem,quantidade,parlamentar,valor_unit,estado,municipio,beneficiario,entrega_realizada_pelo_fornecedor,pagamento,doacao,status_doacao,entrega_fisica,data_entrega,area,intervencao,quant_doada,item,latitude,longitude,evento_realizado
SANTA CRUZ COMERCIAL E MAQUINAS LTDA,Casa de farinha movel,1,ELMANO FERRER,123600,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-12-27,Mandiocultura,Maquinas e equipamentos,1,1,-4.751458,-42.574586,Sim
INFANTARIA  COMERCIAL EIRELI,Liquidificador industrial,2,nao informado,800,PI,Jose de Freitas,ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE CONTENDAS,Sim,Pago,Nao,Item Desaparecido,Nao,item nao doado,Agricultura familiar,Maquinas e equipamentos,1,14,-4.751458,-42.574586,Nao
K.C.R. INDUSTRIA E COMERCIO DE EQUIPAMENTOS EIRELI,"Balanca tendal eletronica digital, capacidade 300 kg",2,nao informado,6360,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,2,5,-8.143760999999996,-40.79890999999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Caldeira vertical 150 kgv/h a Lenha,1,nao informado,55720,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,1,7,-8.143760999999996,-40.79890999999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Centrifuga raspadeira de buchos,1,nao informado,25671,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,1,6,-8.143760999999996,-40.79890999999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Esterilizador de facas e chaira,10,nao informado,1343,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,9,3,-8.143760999999996,-40.79890999999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Lavador de botas,4,nao informado,2207.79,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,4,2,-8.143760999999996,-40.79890999999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Lavatorio para maos e bracos,12,nao informado,1542.25,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,12,4,-8.143760999999996,-40.79890999999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Rolo/tambor para esfola de ovinos e caprinos,2,nao informado,19352.75,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Doacao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,2,1,-8.143760999999996,-40.79890999999999,Sim
TATIANE DE ALMEIDA VILLEGA REFRIGERACAO EPP,Camara frigorifica para resfriamento e estocagem de carcacas,1,nao informado,62751.24,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-02-21,Ovinocaprino,Maquinas e equipamentos,1,8,-8.143760999999996,-40.79890999999999,Sim
ENGEPOM EQUIPAMENTOS PARA REFRIGERACAO LTDA,Camara frigorifica para congelamento e estocagem de cortes especiais,1,nao informado,63893.12,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-02-26,Ovinocaprino,Maquinas e equipamentos,1,9,-8.143760999999996,-40.79890999999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Esterilizador de facas e chaira,10,nao informado,1343,PI,Betania do Piaui,ASSOCIACAO DOS CRIADORES DE OVINOS E CAPRINOS DO MUNICIPIO DE BETANIA DO PIAUI - PI - ASCOBETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2023-12-19,Ovinocaprino,Maquinas e equipamentos,1,3,-8.143760999999996,-40.79890999999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque-rede (2x2),159,nao informado,1990,PI,Madeiro,ASSOCIACAO DE CRIADORES DE TILAPIA EM TANQUES REDES DE MUTUNS,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-07,Aquicultura e pesca,Maquinas e equipamentos,10,23,-3.486245,-42.49807199999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque-rede (2x2),159,nao informado,1990,PI,Luzilandia,ASSOCIACAO DOS PESCADORES E PISCICULTORES DO MUNICIPIO DE LUZILANDIA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-07,Aquicultura e pesca,Maquinas e equipamentos,40,23,-3.468296,-42.371757,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque-rede (2x2),159,nao informado,1990,PI,Caxingo,ASSOCIACAO DOS PISCICULTORES FAMILIARES DO ASSENTAMENTO SAO CAETANO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-07,Aquicultura e pesca,Maquinas e equipamentos,40,23,-3.4190439999999995,-41.895476,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Tanque-rede (2x2),159,nao informado,1990,PI,Caxingo,ASSOCIACAO DE PISCICULTORES DE CAXINGO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-07,Aquicultura e pesca,Maquinas e equipamentos,10,23,-3.4190439999999995,-41.895476,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Pavussu,ASSOCIACAO DE APICULTORES E AGRICULTORES BAIXAO DO CAJUEIRO,Sim,Pago,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,2,9,-7.96059,-43.228438,Nao
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,24,nao informado,3300,PI,Cocal,PREFEITURA MUNICIPAL DE COCAL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,7,-3.472792,-41.55462299999999,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,5,nao informado,141986.5,PI,Campo Alegre do Fidalgo,ASSOCIACAO QUILOMBOLA DE SANTA MARIA DO CANTO,Sim,Pago,Sim,Termo de Cessao,Sim,2022-12-20,Apicultura ,Maquinas e equipamentos,1,1,-8.382357,-41.83439899999999,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,5,nao informado,141986.5,PI,Milton Brandao,ASSOCIACAO DOS PRODUTORES RURAIS DA COMUNIDADE BURITIZINHO,Sim,Pago,Sim,Termo de Cessao,Sim,2022-12-06,Apicultura ,Maquinas e equipamentos,1,1,-4.682945999999999,-41.417343,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,5,nao informado,141986.5,PI,Pedro II,ASSOCIACAO DE MORADORES DA COMUNIDADE TUCUNS DOS PEDRO,Sim,Pago,Sim,Termo de Cessao,Sim,2022-12-06,Apicultura ,Maquinas e equipamentos,1,1,-4.425844999999999,-41.448184,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,5,nao informado,141986.5,PI,Simplicio Mendes,ASSOCIACAO DE PEQUENOS PRODUTORES DA COMUNIDADE BETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2023-09-22,Apicultura ,Maquinas e equipamentos,1,1,-7.852943999999998,-41.907533,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,5,nao informado,141986.5,PI,Eliseu Martins,ASSOCIACAO DE PEQUENOS PRODUTORES COM. CHUPEIRO,Sim,Pago,Sim,Termo de Cessao,Sim,2023-08-29,Apicultura ,Maquinas e equipamentos,1,1,-8.096286,-43.670481,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,3,nao informado,129100,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Sim,Termo de Cessao,Sim,2024-02-28,Apicultura ,Maquinas e equipamentos,1,5,-7.787931,-42.918009,Sim
WATT TECNOLOGIA LTDA,UEPA Container extracao de mel,3,nao informado,129100,PI,Sao Raimundo Nonato,ASSOCIACAO PRODUTORES RURAIS DA LOCALIDADE ESTACAO SERRA VERMELHA GERAIS,Sim,Pago,Sim,Termo de Cessao,Sim,2024-03-07,Apicultura ,Maquinas e equipamentos,1,5,-9.012411999999998,-42.69865899999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Simplicio Mendes,ASSOCIACAO DE PEQUENOS PRODUTORES DA COMUNIDADE BETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2023-09-22,Apicultura ,Maquinas e equipamentos,1,3,-7.852943999999998,-41.907533,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Eliseu Martins,ASSOCIACAO DE PEQUENOS PRODUTORES COM. CHUPEIRO,Sim,Pago,Sim,Termo de Cessao,Sim,2023-08-29,Apicultura ,Maquinas e equipamentos,1,3,-8.096286,-43.670481,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Pedro II,ASSOCIACAO DE MORADORES DA COMUNIDADE TUCUNS DOS PEDRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-17,Apicultura ,Maquinas e equipamentos,1,3,-4.425844999999999,-41.448184,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Milton Brandao,ASSOCIACAO DOS PRODUTORES RURAIS DA COMUNIDADE BURITIZINHO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-17,Apicultura ,Maquinas e equipamentos,1,3,-4.682945999999999,-41.417343,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Campo Alegre do Fidalgo,ASSOCIACAO QUILOMBOLA DE SANTA MARIA DO CANTO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-21,Apicultura ,Maquinas e equipamentos,1,3,-8.382357,-41.83439899999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Cocal,PREFEITURA MUNICIPAL DE COCAL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,3,-3.472792,-41.55462299999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Parnaiba,ASSOCIACAO APICOLA SOLO LITORANEA - APISOL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,3,-2.905847,-41.77538799999999,Sim
GERACAO COMERCIO E SERVICOS LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,12,nao informado,8910,PI,Simplicio Mendes,ASSOCIACAO DOS PEQUENOS PRODUTORES DA COMUNIDADE ALAGADICO GRANDE,Sim,Pago,Sim,Aguardando Doacao,Nao,item nao doado,Apicultura ,Maquinas e equipamentos,1,3,-7.852943999999998,-41.907533,Nao
WATT TECNOLOGIA LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,3,nao informado,8800,PI,Bonfim do Piaui,ASSOCIACAO DOS APICULTORES DE BONFIM DO PIAUI - AABP,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-18,Apicultura ,Maquinas e equipamentos,1,4,-9.180930999999998,-42.883466,Sim
WATT TECNOLOGIA LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,3,nao informado,8800,PI,Sao Raimundo Nonato,ASSOCIACAO PRODUTORES RURAIS DA LOCALIDADE ESTACAO SERRA VERMELHA GERAIS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-22,Apicultura ,Maquinas e equipamentos,1,4,-9.012411999999998,-42.69865899999999,Sim
WATT TECNOLOGIA LTDA,Centrifuga Eletrica para Extracao de Mel 50/65 Quadros,3,nao informado,8800,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Sim,Termo de Cessao,Sim,2024-01-25,Apicultura ,Maquinas e equipamentos,1,4,-7.787931,-42.918009,Sim
WATT TECNOLOGIA LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,3,nao informado,3460,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Nao,Termo de Cessao,Sim,2024-01-25,Apicultura ,Maquinas e equipamentos,1,6,-7.787931,-42.918009,Sim
WATT TECNOLOGIA LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,12,nao informado,3460,PI,Simplicio Mendes,ASSOCIACAO DE PEQUENOS PRODUTORES DA COMUNIDADE BETANIA,Sim,Pago,Nao,Termo de Cessao,Sim,2024-11-27,Apicultura ,Maquinas e equipamentos,1,5,-7.852943999999998,-41.907533,Sim
WATT TECNOLOGIA LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,3,nao informado,3460,PI,Sao Raimundo Nonato,ASSOCIACAO PRODUTORES RURAIS DA LOCALIDADE ESTACAO SERRA VERMELHA GERAIS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-23,Apicultura ,Maquinas e equipamentos,1,6,-9.012411999999998,-42.883466,Sim
WATT TECNOLOGIA LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,3,nao informado,3460,PI,Bonfim do Piaui,ASSOCIACAO DOS APICULTORES DE BONFIM DO PIAUI - AABP,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-18,Apicultura ,Maquinas e equipamentos,0,6,-9.180930999999998,-42.883466,Sim
WATT TECNOLOGIA LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,12,nao informado,3460,PI,Eliseu Martins,ASSOCIACAO DE PEQUENOS PRODUTORES COM. CHUPEIRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-09,Apicultura ,Maquinas e equipamentos,1,5,-8.096286,-43.670481,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,8,nao informado,3068,PI,Cocal,PREFEITURA MUNICIPAL DE COCAL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,5,-3.472792,-41.55462299999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Mesa Desoperculadora de Favos 50 Quadros Manual,8,nao informado,3068,PI,Parnaiba,ASSOCIACAO APICOLA SOLO LITORANEA - APISOL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,1,5,-2.905847,-41.77538799999999,Sim
A RODRIGUES COM E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",175,CASTRO NETO,589,PI,Madeiro,INSTITUTO DE PESCA E AQUICULTURA MULHERES DAS AGUAS - IPAMA,Sim,Pago,Sim,Termo de Cessao,Sim,2025-04-29,Aquicultura e pesca,Maquinas e equipamentos,50,2,-3.486245,-42.49807199999999,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CASTRO NETO,17000,PI,Madeiro,INSTITUTO DE PESCA E AQUICULTURA MULHERES DAS AGUAS - IPAMA,Sim,Pago,Sim,Termo de Cessao,Sim,2025-04-29,Aquicultura e pesca,Maquinas e equipamentos,1,1,-3.486245,-42.49807199999999,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Sim,Termo de Cessao,Sim,2024-01-25,Apicultura ,Maquinas e equipamentos,2,9,-7.787931,-42.918009,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Bonfim do Piaui,ASSOCIACAO DOS APICULTORES DE BONFIM DO PIAUI - AABP,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-18,Apicultura ,Maquinas e equipamentos,2,9,-9.180930999999998,-42.883466,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Sao Raimundo Nonato,ASSOCIACAO PRODUTORES RURAIS DA LOCALIDADE ESTACAO SERRA VERMELHA GERAIS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-07,Apicultura ,Maquinas e equipamentos,2,9,-9.012411999999998,-42.69865899999999,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Simplicio Mendes,ASSOCIACAO DE PEQUENOS PRODUTORES DA COMUNIDADE BETANIA,Sim,Pago,Sim,Termo de Cessao,Sim,2024-11-27,Apicultura ,Maquinas e equipamentos,2,9,-7.852943999999998,-41.907533,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Cocal,PREFEITURA MUNICIPAL DE COCAL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-23,Apicultura ,Maquinas e equipamentos,2,9,-3.472792,-41.55462299999999,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Parnaiba,ASSOCIACAO APICOLA SOLO LITORANEA - APISOL,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-17,Apicultura ,Maquinas e equipamentos,2,9,-2.905847,-41.77538799999999,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Pedro II,ASSOCIACAO DE MORADORES DA COMUNIDADE TUCUNS DOS PEDRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-17,Apicultura ,Maquinas e equipamentos,1,9,-4.425844999999999,-41.448184,Sim
WATT TECNOLOGIA LTDA,Bandeja para receber Melgueira,30,nao informado,244,PI,Eliseu Martins,ASSOCIACAO DE PEQUENOS PRODUTORES COM. CHUPEIRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-09,Apicultura ,Maquinas e equipamentos,1,9,-8.096286,-43.670481,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Bandeja para receber Melgueira,8,nao informado,163.9,PI,Campo Alegre do Fidalgo,ASSOCIACAO QUILOMBOLA DE SANTA MARIA DO CANTO,Sim,Pago,Sim,Termo de Cessao,Sim,data nao informada,Apicultura ,Maquinas e equipamentos,1,11,-8.382357,-41.83439899999999,Sim
COMBRAS COMERCIAL DE MATERIAL PERMANENTE E DE CONSUMO LTDA,Bandeja para receber Melgueira,8,nao informado,163.9,PI,Milton Brandao,ASSOCIACAO DOS PRODUTORES RURAIS DA COMUNIDADE BURITIZINHO,Sim,Pago,Sim,Termo de Cessao,Sim,data nao informada,Apicultura ,Maquinas e equipamentos,0,11,-4.682945999999999,-41.417343,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,24,nao informado,3300,PI,Pedro II,ASSOCIACAO DE MORADORES DA COMUNIDADE TUCUNS DOS PEDRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-14,Apicultura ,Maquinas e equipamentos,1,7,-4.425844999999999,-41.448184,Sim
TCN COMERCIO E CONSTRUCAO ,Embarcacao de 6m e motor de popa 2T 15HP,25,CASTRO NETO,17000,PI,Caxingo,PREFEITURA MUNICIPAL DE CAXINGO,Sim,Pago,Sim,Termo de Doacao,Sim,2025-04-30,Aquicultura e pesca,Maquinas e equipamentos,1,1,-3.4190439999999995,-41.895476,Sim
A RODRIGUES COM E SERVICOS LTDA,"Motor de rabeta 4 tempos, 6,5 a 7 cv",175,CASTRO NETO,589,PI,Caxingo,PREFEITURA MUNICIPAL DE CAXINGO,Sim,Pago,Sim,Termo de Doacao,Sim,2025-04-30,Aquicultura e pesca,Maquinas e equipamentos,20,2,-3.4190439999999995,-41.895476,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,24,nao informado,3300,PI,Eliseu Martins,ASSOCIACAO DE PEQUENOS PRODUTORES COM. CHUPEIRO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-04-09,Apicultura ,Maquinas e equipamentos,2,7,-8.096286,-43.670481,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,24,nao informado,3300,PI,Campo Alegre do Fidalgo,ASSOCIACAO QUILOMBOLA DE SANTA MARIA DO CANTO,Sim,Pago,Sim,Termo de Cessao,Sim,2024-10-21,Apicultura ,Maquinas e equipamentos,1,7,-8.382357,-41.83439899999999,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,6,nao informado,3300,PI,Sao Raimundo Nonato,ASSOCIACAO PRODUTORES RURAIS DA LOCALIDADE ESTACAO SERRA VERMELHA GERAIS,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-22,Apicultura ,Maquinas e equipamentos,2,8,-9.012411999999998,-42.69865899999999,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,6,nao informado,3300,PI,Bonfim do Piaui,ASSOCIACAO DOS APICULTORES DE BONFIM DO PIAUI - AABP,Sim,Pago,Sim,Termo de Doacao,Sim,2024-03-18,Apicultura ,Maquinas e equipamentos,2,8,-9.180930999999998,-42.883466,Sim
WATT TECNOLOGIA LTDA,Tanque Decantador 400 lts / 560 Kg,6,nao informado,3300,PI,Flores do Piaui,ASSOCIACAO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE CAMPESTRE,Sim,Pago,Sim,Termo de Cessao,Sim,2024-01-25,Apicultura ,Maquinas e equipamentos,2,8,-7.787931,-42.918009,Sim
